id,brand_id,name,released_at,body,os,storage,display_size,display_resolution,camera_pixels,video_pixels,ram,chipset,battery_size,battery_type,created_at,updated_at
9730,4,Samsung Galaxy A90 5G,"Released 2019, September","206g, 8.4mm thickness","Android 9.0, up to Android 11, One UI 3.1","128GB storage, microSDXC","6.7""",1080x2400 pixels,48 MP         ,2160p,6/8 GB RAM ,Snapdragon 855,4500 mAh ,Li-Po,10/9/2021 00:30:53,10/9/2021 00:30:53
9731,4,Samsung Galaxy A30s,"Released 2019, September 11","169g, 7.8mm thickness","Android 9.0, up to Android 11, One UI 3.1","32GB/64GB/128GB storage, microSDXC","6.4""",720x1560 pixels,25 MP         ,1080p,3/4 GB RAM ,Exynos 7904,4000 mAh ,Li-Po,10/9/2021 00:30:55,10/9/2021 00:30:55
9741,4,Samsung Galaxy A50s,"Released 2019, September","169g, 7.7mm thickness","Android 9.0, up to Android 10, One UI 2.5","64GB/128GB storage, microSDXC","6.4""",1080x2340 pixels,48 MP         ,2160p,4/6 GB RAM ,Exynos 9611,4000 mAh ,Li-Po,10/9/2021 00:31:25,10/9/2021 00:31:25
9753,4,Samsung Galaxy M30s,"Released 2019, October 30","188g, 8.9mm thickness","Android 9.0, up to Android 11, One UI 3.0","64GB/128GB storage, microSDXC","6.4""",1080x2340 pixels,48 MP         ,2160p,4/6 GB RAM ,Exynos 9611,6000 mAh ,Li-Po,10/9/2021 00:32:04,10/9/2021 00:32:04
9785,4,Samsung Galaxy Tab Active Pro,"Released 2019, October","653g, 9.9mm thickness",Android 9.0,"64GB storage, microSDXC","10.1""",1920x1200 pixels,13 MP         ,2160p,4 GB RAM ,Snapdragon 670,7600 mAh ,Li-Po,10/9/2021 00:33:38,10/9/2021 00:33:38
9786,4,Samsung Galaxy Fold 5G,"Released 2019, September","276g, 6.9mm thickness","Android 9.0, up to Android 11, One UI 3.0","512GB storage, no card slot","7.3""",1536x2152 pixels,16 MP         ,2160p,12 GB RAM ,Snapdragon 855,4235 mAh ,Li-Po,10/9/2021 00:33:40,10/9/2021 00:33:40
9787,4,Samsung Galaxy A20s,"Released 2019, October 05","183g, 8mm thickness","Android 9.0, up to Android 11, One UI 3.1","32GB/64GB storage, microSDXC","6.5""",720x1560 pixels,13 MP         ,1080p,2-4 GB RAM ,Snapdragon 450,4000 mAh ,Li-Po,10/9/2021 00:33:44,10/9/2021 00:33:44
9796,4,Samsung Galaxy M10s,"Released 2019, September","169g, 7.8mm thickness","Android 9.0, up to Android 10, One UI 2.0","32GB storage, microSDXC","6.4""",720x1560 pixels,13 MP         ,1080p,3 GB RAM ,Exynos 7884B,4000 mAh ,Li-Ion,10/9/2021 00:34:05,10/9/2021 00:34:05
9834,4,Samsung Galaxy A70s,"Released 2019, September","187g, 7.9mm thickness","Android 9.0, up to Android 11, One UI 3.1","128GB storage, microSDXC","6.7""",1080x2400 pixels,64 MP         ,2160p,6/8 GB RAM ,Snapdragon 675,4500 mAh ,Li-Po,10/9/2021 00:35:53,10/9/2021 00:35:53
9847,4,Samsung Galaxy A91,Not announced yet,,"Android 10, One UI","128GB storage, microSDXC","6.7""",1080x2400 pixels,48 MP         ,2160p,8 GB RAM ,Snapdragon 855,4500 mAh ,Li-Po,10/9/2021 00:36:25,10/9/2021 00:36:25
9852,4,Samsung Galaxy S10 Lite,"Released 2020, February 03","186g, 8.1mm thickness","Android 10, up to Android 11, One UI 3.1","128GB/512GB storage, microSDXC","6.7""",1080x2400 pixels,48 MP         ,2160p,6/8 GB RAM ,Snapdragon 855,4500 mAh ,Li-Po,10/9/2021 00:36:39,10/9/2021 00:36:39
9871,4,Samsung Galaxy Xcover FieldPro,"Released 2020, April 06","256g, 14.2mm thickness",Android 8.0,"64GB storage, microSDXC","5.1""",1440x2560 pixels,12 MP         ,1080p,4 GB RAM ,Exynos 9810,4500 mAh ,Li-Po,10/9/2021 00:37:29,10/9/2021 00:37:29
9897,4,Samsung Galaxy A51,"Released 2019, December 16","172g, 7.9mm thickness","Android 10, up to Android 11, One UI 3.1","64GB/128GB/256GB storage, microSDXC","6.5""",1080x2400 pixels,48 MP         ,2160p,4-8 GB RAM ,Exynos 9611,4000 mAh ,Li-Po,10/9/2021 00:38:33,10/9/2021 00:38:33
9929,4,Samsung Galaxy A71,"Released 2020, January 17","179g, 7.7mm thickness","Android 10, up to Android 11, One UI 3.1","128GB storage, microSDXC","6.7""",1080x2400 pixels,64 MP         ,2160p,6/8 GB RAM ,Snapdragon 730,4500 mAh ,Li-Ion,10/9/2021 00:39:49,10/9/2021 00:39:49
9933,4,Samsung Galaxy A01,"Released 2020, January","149g, 8.3mm thickness","Android 10, up to Android 11, One UI 3.0","16GB/32GB storage, microSDXC","5.7""",720x1520 pixels,13 MP         ,1080p,2 GB RAM ,Snapdragon 439,3000 mAh ,Li-Ion,10/9/2021 00:39:58,10/9/2021 00:39:58
9935,4,Samsung Galaxy Xcover Pro,"Released 2020, January","218g, 10mm thickness","Android 10, up to Android 11, One UI 3.0","64GB storage, microSDXC","6.3""",1080x2340 pixels,25 MP         ,1080p,4 GB RAM ,Exynos 9611,4050 mAh ,Li-Po,10/9/2021 00:40:02,10/9/2021 00:40:02
9937,4,Samsung Galaxy Note10 Lite,"Released 2020, January 21","199g, 8.7mm thickness","Android 10, up to Android 11, One UI 3.1","128GB storage, microSDXC","6.7""",1080x2400 pixels,12 MP         ,2160p,6/8 GB RAM ,Exynos 9810,4500 mAh ,Li-Po,10/9/2021 00:40:07,10/9/2021 00:40:07
9938,4,Samsung Galaxy Tab S6 5G,"Released 2020, January 30","420g, 5.7mm thickness","Android 10, One UI 2","128GB storage, microSDXC","10.5""",1600x2560 pixels,13 MP         ,2160p,6 GB RAM ,Snapdragon 855+,7040 mAh ,Li-Po,10/9/2021 00:40:09,10/9/2021 00:40:09
9974,4,Samsung Galaxy S20 Ultra 5G,"Released 2020, March 06","222g, 8.8mm thickness","Android 10, up to Android 11, One UI 3.0","128GB/256GB/512GB storage, microSDXC","6.9""",1440x3200 pixels,108 MP         ,4320p,12/16 GB RAM ,Exynos 990,5000 mAh ,Li-Ion,10/9/2021 00:41:34,10/9/2021 00:41:34
9975,4,Samsung Galaxy S20+ 5G,"Released 2020, March 06","188g, 7.8mm thickness","Android 10, up to Android 11, One UI 3.0","128GB/256GB/512GB storage, microSDXC","6.7""",1440x3200 pixels,64 MP         ,4320p,8/12 GB RAM ,Exynos 990,4500 mAh ,Li-Ion,10/9/2021 00:41:37,10/9/2021 00:41:37
9978,4,Samsung Galaxy S20 5G,"Released 2020, March 06","163g, 7.9mm thickness","Android 10, up to Android 11, One UI 3.0","128GB storage, microSDXC","6.2""",1440x3200 pixels,64 MP         ,4320p,8/12 GB RAM ,Exynos 990,4000 mAh ,Li-Ion,10/9/2021 00:41:44,10/9/2021 00:41:44
9988,4,Samsung Galaxy Z Flip,"Released 2020, February 14","183g, 7.2mm thickness","Android 10, up to Android 11, One UI 3.1.1","256GB storage, no card slot","6.7""",1080x2636 pixels,12 MP         ,2160p,8 GB RAM ,Snapdragon 855+,3300 mAh ,Li-Po,10/9/2021 00:42:07,10/9/2021 00:42:07
10006,4,Samsung Galaxy M31,"Released 2020, March 05","191g, 8.9mm thickness","Android 10, up to Android 11, One UI 3.1","64GB/128GB storage, microSDXC","6.4""",1080x2340 pixels,64 MP         ,2160p,6/8 GB RAM ,Exynos 9611,6000 mAh ,Li-Po,10/9/2021 00:43:04,10/9/2021 00:43:04
10007,4,Samsung Galaxy S20+,"Released 2020, March 06","186g, 7.8mm thickness","Android 10, up to Android 11, One UI 3.0","128GB storage, microSDXC","6.7""",1440x3200 pixels,64 MP         ,4320p,8 GB RAM ,Exynos 990,4500 mAh ,Li-Ion,10/9/2021 00:43:06,10/9/2021 00:43:06
