Code,Name,Product Information,Price,Saving Price,Review Count
1781571,"Samsung Galaxy A13 5G White 6.5"" 64GB 5G Unlocked & SIM Free Smartphone","Android 11 Operating System
Screen: 6.5 Inches
Storage: 64GB
Triple 50, 2 and 2 Megapixel Rear camera",£169.00,£50,0
1818770,"Samsung Galaxy S23+ Cream 6.6"" 256GB 5G Unlocked & SIM Free Smartphone","Android 13 Operating System
Screen: 6.6 Inches
Storage: 256GB
Triple 12, 50 and 10 Megapixel Rear camera",£879.00,£170,30
1818784,"Samsung Galaxy S23 Ultra Green 6.8"" 512GB 5G Unlocked & SIM Free Smartphone","Android 13 Operating System
Screen: 6.8 Inches
Storage: 512GB
Quadruple 12, 200, 10 and 10 Megapixel Rear camera",£1099.00,£300,0
1828340,"Samsung Galaxy A54 Awesome Black 6.4"" 256GB 5G Unlocked & SIM Free Smartphone","Android 13 Operating System
Screen: 6.4 Inches
Storage: 256GB
Triple 50, 12 and 5 Megapixel Rear camera",£449.00,£50,0
1700483,"Samsung Galaxy S22 Green 6.1"" 128GB 5G Unlocked & SIM Free Smartphone","Android 12 Operating System
Screen: 6.1 Inches
Storage: 128GB
10 Megapixel Rear camera",£549.00,£220,2
1524046,"Apple iPhone 11 Slim Pack Black 6.1"" 64GB 4G Unlocked & SIM Free Smartphone","iOS 13 Operating System
Screen: 6.1 Inches
Storage: 64GB
Dual 12 Megapixel Rear camera",£449.00,0,4
1832167,"OPPO A77 5G Ocean Blue 6.56"" 64GB 5G Unlocked & SIM Free Smartphone","Android 12 Operating System
Screen: 6.56 Inches
Storage: 64GB
Dual 48 and 2 Megapixel Rear camera",£149.00,£100,0
1522230,"Apple iPhone 12 Black 6.1"" 128GB 5G Unlocked & SIM Free Smartphone","iOS 14 Operating System
Screen: 6.1 Inches
Storage: 128GB
Dual 12 Megapixel Rear camera",£638.97,£60,0
1688743,"Samsung Galaxy S21 FE Graphite 6.4"" 128GB 5G Unlocked & SIM Free Smartphone","Android 12 Operating System
Screen: 6.4 Inches
Storage: 128GB
Triple 12, 8 and 12 Megapixel Rear camera",£469.00,£230,9
1718909,"Samsung Galaxy A33 5G Awesome Black 6.4"" 128GB 5G Unlocked & SIM Free Smartphone","Android 12 Operating System
Screen: 6.4 Inches
Storage: 128GB
Quadruple 48, 8, 5 and 2 Megapixel Rear camera",£279.00,£40,0
1828879,"Samsung Galaxy A54 Awesome Violet 6.4"" 128GB 5G Unlocked & SIM Free Smartphone","Android 13 Operating System
Screen: 6.4 Inches
Storage: 128GB
Triple 50, 12 and 5 Megapixel Rear camera",£399.00,£50,1
1778374,"Apple iPhone 14 Pro Max Space Black 6.7"" 512GB 5G Unlocked & SIM Free Smartphone","iOS 16 Operating System
Screen: 6.1 Inches
Storage: 512GB
Triple 48, 12 and 12 Megapixel Rear camera",£1285.97,£343,0
